Req ID,Source,Section,Subsection,Subsection Title,Specification,Simple Description,Relation To,Milestone,Timing/Deadline,Category,Deliverable Type,Responsibility,Notes,Due Date,Status,Status Notes,Location,WSDOT Lead,Column1
002-183,Technical Requirements (RFP Chapter 2),2.30 Montlake Underlid Systems,2.30.5.5,Testing and System Integration,The commissioning agent shall maintain a comprehensive list of control and monitoring points that can be cross-checked against functional requirements for systems and equipment. The commissioning agent shall provide sequence of operations for instrumentation and programming of systems. The system sequence of operations shall be completed during the preliminary engineering phase of work and shall be updated during final design. The system sequence of operations shall become part of the Draft and Final O&M Manual. The commissioning agent shall provide an integration test program. The integration test program shall allow individual test plans to be developed during the testing phase of work.,Provide integration test program and maintain control/monitoring points list,For,Handover,For ongoing operations,Testing & Commissioning,Commissioning Activities,Design-Builder,Found via handover keyword: commissioning; commissioning agent must maintain comprehensive list of control and monitoring points; system sequence of operations becomes part of Draft and Final O&M Manual,,Not Started,,,RB,
002-184,Technical Requirements (RFP Chapter 2),2.30 Montlake Underlid Systems,2.30.5.6,Training,"The Design-Builder shall provide a minimum of 60 hours of training services for the Montlake Underlid Systems, in the fire life safety components, the functionality of the system, and the operation and maintenance of the system. A SimplexGrinnell representative shall be present at all trainings.",Provide 60 hours of training for Montlake Underlid Systems,Upon,Handover,Upon completion of the Work,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,"Found via handover keyword: training; SimplexGrinnell representative must be present at all trainings; training shall include hands-on training at TrueSite workstation, detection and countdown timing without zone activation",,Not Started,,,RB,
002-185,Technical Requirements (RFP Chapter 2),2.30 Montlake Underlid Systems,2.30.6.5,As-Built Plans,The Design-Builder shall submit As-Built Plans in accordance with Sections 2.12 and 2.28.,Submit As-Built Plans,Upon,Handover,Upon completion of the Work,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Found via handover keyword: as-built; cross-reference Sections 2.12 and 2.28 for additional requirements,,Not Started,,,RB,
002-186,Technical Requirements (RFP Chapter 2),2.30 Montlake Underlid Systems,2.30.6.9,Operation and Maintenance Manual,"The Design-Builder shall submit an Operations and Maintenance (O&M) manuals for all tunnel fire detection, control and suppression systems equipment in accordance with Section 2.34 and this Section.","Submit O&M manuals for all tunnel fire detection, control and suppression systems equipment",Upon,Handover,Upon completion of the Work,Operations & Maintenance,Manuals,Design-Builder,Found via handover keyword: O&M; cross-reference Section 2.34 for additional requirements; must include index of systems and equipment for upload to computerized maintenance management system,,Not Started,,,RB,
002-187,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.1,General,The Design-Builder shall maintain all permanent electrical power to the facilities constructed by the Project from the time the new electrical service is placed in service until Physical Completion. This shall include coordination with Seattle City Light and maintenance of all temporary electrical power services to the construction Site and facilities as necessary during the Project.,Maintain permanent electrical power to Project facilities until Physical Completion,Until,Physical Completion,Until Physical Completion,Physical Work,Service/Maintenance,Design-Builder,Includes coordination with Seattle City Light; applies to all new electrical services installed; responsibility continues throughout construction period; also includes maintenance of temporary electrical power services,,In Progress,,,PA,
002-188,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.4.4,Temporary Electrical Services,The Design-Builder shall coordinate with WSDOT and Seattle City Light and remove all temporary services and associated equipment prior to Substantial Completion as required by these Technical Requirements.,Remove all temporary electrical services and associated equipment,Prior to,Substantial Completion,Prior to Substantial Completion,Physical Work,Construction Activities,Design-Builder,"Includes coordination with Seattle City Light; applies to all temporary electrical services, conduits, conductors, and associated equipment installed during construction",,Due,kw - No forms found for 2.31.4.4 only 2.31.4,,PA,
002-189,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.4.6.3.2.2,Uninterruptible Power Supply,"The Simple Network Management Protocol will support Simple Network Management Protocol v1, and shall be Management Information Base (MIB) RFC 1628 compliant. The MIB listing shall be submitted to WSDOT for Review and Comment prior to Substantial Completion.",Submit UPS MIB listing to WSDOT for Review and Comment,Prior to,Substantial Completion,Prior to Substantial Completion,Closeout/Final Records,Project Documentation Package,Design-Builder,MIB listing must be RFC 1628 compliant; relates to UPS Simple Network Management Protocol module for Montlake Underlid Systems,,Complete,,GRA-MAT-00405,PA,
002-190,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.5.9,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit to WSDOT and the local agencies for Review and Comment: • As-Built-Plans for the electrical Work",Submit As-Built Plans for electrical work prior to final electrical inspection,Prior to,Handover,Prior to final electrical inspection,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Part of multi-item submittal for final electrical inspection; see also 002-189 and 002-190; found via handover keyword: as-built,,Not Started,,,PA,
002-191,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.5.9,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit to WSDOT and the local agencies for Review and Comment: • Documentation including all tests, testing procedures, results, and corrections made","Submit documentation including all tests, testing procedures, results, and corrections made",Prior to,Handover,Prior to final electrical inspection,Closeout/Final Records,Records,Design-Builder,Part of multi-item submittal for final electrical inspection; see also 002-188 and 002-190; includes all electrical testing documentation,,Not Started,,,PA,
002-192,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.5.9,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit to WSDOT and the local agencies for Review and Comment: • Operation and maintenance manuals for all systems installed",Submit operation and maintenance manuals for all systems installed,Prior to,Handover,Prior to final electrical inspection,Operations & Maintenance,Manuals,Design-Builder,Part of multi-item submittal for final electrical inspection; see also 002-188 and 002-189; found via handover keyword: O&M manuals,,Not Started,,,PA,
002-193,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.6.8,Other Submittals,"The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: • Training documentation, including training materials and recorded training video","Submit training documentation, including training materials and recorded training video",Prior to,Substantial Completion,Prior to Substantial Completion,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,"Part of multi-item submittal; see also 002-192, 002-193, and 002-194; reference Section 2.34 for additional requirements",,Due,KW - No forms found for 2.31.6.8 ,,PA,
002-194,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.6.8,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: • O&M manuals,Submit O&M manuals,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,"Part of multi-item submittal; see also 002-191, 002-193, and 002-194; reference Section 2.34 for additional requirements",,Due,KW - No forms found for 2.31.6.8 ,,PA,
002-195,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.6.8,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: • Operating software (including firmware) and documentation,Submit operating software (including firmware) and documentation,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Software/Firmware,Design-Builder,"Part of multi-item submittal; see also 002-191, 002-192, and 002-194; includes all operating software and firmware for electrical systems; reference Section 2.34 for additional requirements",,Due,KW - No forms found for 2.31.6.8 ,,PA,
002-196,Technical Requirements (RFP Chapter 2),2.31 Electrical,2.31.6.8,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: • UPS MIB listing,Submit UPS MIB listing,Prior to,Substantial Completion,Prior to Substantial Completion,Closeout/Final Records,Project Documentation Package,Design-Builder,"Part of multi-item submittal; see also 002-191, 002-192, and 002-193; UPS MIB listing also mentioned in Section 2.31.4.6.3.2.2 (see 002-187); reference Section 2.34 for additional requirements",,Due,KW - No forms found for 2.31.6.8 ,,PA,
002-196.9,Technical Requirements (RFP Chapter 2),2.32 Fire Protection,2.32.4.3,Fire Protection Design for SR 520 Roadway on West Approach Bridge South (WABS),"Prior to Substantial Completion, the Design-Builder shall supply to WSDOT the approved water treatment materials (see below), to account for 10 uses of the Fire Protection Service. Approved water treatment materials: VITA C BATH Effervescent Tablets 1000mg Vitamin C Dichlorination Tablets (or similar).",Supply approved water treatment materials for 10 uses of fire protection service,Prior to,Substantial Completion,Prior to Substantial Completion,Procurement & Delivery,Spare Parts,Design-Builder,Added by CO 186 (05/06/25) - PCO 379; water treatment materials for WABS south hydrant low point drains; VITA C BATH Effervescent Tablets 1000mg Vitamin C Dichlorination Tablets or similar; quantity for 10 uses; resolves NCI-00248 (WABS Fire Suppression Standpipes Not Drained); milestone-trigger requirement,,Not Started,,,,
002-197,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.5.5,Warranty,The Design-Builder shall provide a minimum 20-year roof warranty for roofing material.,Provide 20-year roof warranty,,Physical Completion,Unspecified,Quality & Compliance,Warranties & Certifications,Design-Builder,Minimum 20-year warranty period; found via handover keyword,,Not Started,,,RB,
002-198,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.5.6,Training,The Design-Builder shall provide training services for WSDOT's maintenance personnel on mechanical systems. The Design-Builder shall provide a minimum of 20 hours for classroom training in addition to Section 2.30 training requirements.,Provide training for WSDOT maintenance personnel on mechanical systems,,Handover,Unspecified,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,Minimum 20 hours classroom training; in addition to Section 2.30 requirements; found via handover keyword,,Not Started,,,RB,
002-199,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.5.6,Training,"The Design-Builder shall submit to WSDOT for Review and Comment a complete training syllabus outlining topics to be covered, timeframes, and training location for said topics and materials to be furnished as part of the training sessions, and necessary instruction sheets.",Submit training syllabus for mechanical systems,,Handover,Unspecified,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,"Submit to WSDOT for Review and Comment; related to 002-196; must outline topics, timeframes, location, materials, instruction sheets; refer to Section 2.34 for scheduling",,Not Started,,,RB,
002-200,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.6.9,Spare Parts,The Design-Builder shall provide renewable spare parts required for the fire protection system based on a two-year operation commencing upon project Physical Completion.,Provide renewable spare parts for fire protection system,Upon,Physical Completion,Upon Physical Completion,Procurement & Delivery,Spare Parts,Design-Builder,Based on two-year operation; milestone trigger takes precedence over handover keyword; see 002-199 through 002-203 for specific items; seven calendar days' notice required prior to delivery,,In Progress,,,RB,
002-201,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.6.9,Spare Parts,"The Design-Builder at a minimum, shall furnish the following spare parts for the WABS standpipe system: • Provide two spare hydrant valves with valve adaptors.",Provide two spare hydrant valves with valve adaptors for WABS,Upon,Physical Completion,Upon Physical Completion,Procurement & Delivery,Spare Parts,Design-Builder,Part of multi-item spare parts submittal; see 002-198 for main requirement; seven calendar days' notice required prior to delivery,,In Progress,,,RB,
002-202,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.6.9,Spare Parts,"The Design-Builder at a minimum, shall furnish the following spare parts for the WABS standpipe system: • Provide six valve caps with chains of each type and size.",Provide six valve caps with chains of each type and size,Upon,Physical Completion,Upon Physical Completion,Procurement & Delivery,Spare Parts,Design-Builder,Part of multi-item spare parts submittal; see 002-198 for main requirement; seven calendar days' notice required prior to delivery,,In Progress,,,RB,
002-203,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.6.9,Spare Parts,"The Design-Builder at a minimum, shall furnish the following spare parts for the mechanical systems: • Provide a minimum of four spare belts and lubrication per fan.",Provide minimum four spare belts and lubrication per fan,Upon,Physical Completion,Upon Physical Completion,Procurement & Delivery,Spare Parts,Design-Builder,Part of multi-item spare parts submittal; see 002-198 for main requirement; seven calendar days' notice required prior to delivery,,In Progress,,,RB,
002-204,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.6.9,Spare Parts,"The Design-Builder at a minimum, shall furnish the following spare parts for the mechanical systems: • Provide air filters and a test kit to determine filter replacement. Provide quantities for two years of operation.",Provide air filters and test kit for two years of operation,Upon,Physical Completion,Upon Physical Completion,Procurement & Delivery,Spare Parts,Design-Builder,Part of multi-item spare parts submittal; quantities for two-year operation; see 002-198 for main requirement; seven calendar days' notice required prior to delivery,,In Progress,,,RB,
002-205,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.6.9,Spare Parts,"The Design-Builder at a minimum, shall furnish the following spare parts for the mechanical systems: • Provide a package of fuses (minimum of 6) of each kind and size installed for the HVAC system.",Provide package of fuses (minimum 6) of each kind and size for HVAC,Upon,Physical Completion,Upon Physical Completion,Procurement & Delivery,Spare Parts,Design-Builder,Part of multi-item spare parts submittal; minimum 6 of each kind and size; see 002-198 for main requirement; seven calendar days' notice required prior to delivery,,In Progress,,,RB,
002-206,Technical Requirements (RFP Chapter 2),2.32 Mechanical,2.32.6.8.1,Computerized Maintenance Management System,The Design-Builder shall provide an index of systems and equipment as part of each O&M manual. The index of systems and equipment will be used to populate WSDOT's computerized maintenance management system for WSDOT maintenance staff. The index of systems and equipment shall provide the equipment name and equipment number together with page numbers within each O&M manual for upload to the computerized maintenance management system. The index of systems and equipment shall include the equipment name and identifier together with page numbers for the following: • Description of component or assembly • Schedule of maintenance and\or preventative maintenance check sheets • Electrical diagram for electrical components or assemblies • Mechanical diagram for mechanical components or assemblies • Expanded view of component or assembly for repair/replacement • Parts list and ordering information,Provide equipment index for computerized maintenance management system in O&M manuals,,Handover,Unspecified,Operations & Maintenance,Manuals,Design-Builder,"Part of O&M manual submittal; index must include equipment name, number, and page references for 6 specific categories; provide in spreadsheet format; for upload to WSDOT CMMS; found via handover keyword",,Not Started,,,RB,
002-207,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.1,General,"In addition to design and construction of these additional BCS components for WABS, the Design-Builder shall provide the following: • Software and programming, system integration, testing, and commissioning for a completely integrated and functional BCS",Provide software programming system integration testing and commissioning for BCS,For,Handover,For ongoing operations,Testing & Commissioning,Commissioning Activities,Design-Builder,Found via handover keywords: commissioning testing integration,,Not Started,,,PA,
002-208,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.4.3,BCS Operations,Design-Builder shall provide comprehensive O&M training to WSDOT staff upon completion of commissioning activities.,Provide comprehensive O&M training to WSDOT staff,Upon,Handover,Upon completion of commissioning,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,Found via handover keywords: O&M training commissioning; training to be provided after commissioning activities complete,,Not Started,,,PA,
002-209,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.5.3.3,Computer and Software,"A heavy-duty, field-hardened laptop with all controlling software and the PLC program installed shall be provided to WSDOT prior to Substantial Completion. The laptop shall be the latest commercially available unit with a minimum 15.6-inch high-definition display, 2 GHz processor, 8 GB RAM, and 250 GB hard drive. The laptop shall be capable of controlling, monitoring, and programming the PLC and control panels by WSDOT personnel in the field or remotely via the WSDOT network. This laptop shall be independent of the laptop required in Section 2.16.",Provide field-hardened laptop with BCS controlling software and PLC program,Prior to,Substantial Completion,Prior to Substantial Completion,Procurement & Delivery,Spare Parts,Design-Builder,Modified by CO 178 (12/18/24): Screen size changed from 17-inch to 15.6-inch. Laptop must include all controlling software and PLC program; minimum specs: 15.6-inch display 2 GHz processor 8 GB RAM 250 GB hard drive; independent from Section 2.16 laptop; milestone trigger requirement,,pending,kw - Status: Closed-Out,GRA-ORFI-00738,PA,
002-210,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.6.9,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34. Final submittals with WSDOT comments addressed shall be submitted to WSDOT upon Physical Completion of the Project: • Training documentation including training materials and recorded training video,Submit training documentation for review,Prior to,Substantial Completion,Prior to Substantial Completion,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,Part of multi-milestone multi-item requirement; draft submittal; see 002-209 for final; includes training materials and recorded video,,Due,KW - No Forms found for 2.33.6.9,,PA,
002-211,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.6.9,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34. Final submittals with WSDOT comments addressed shall be submitted to WSDOT upon Physical Completion of the Project: • Training documentation including training materials and recorded training video,Submit final training documentation with comments addressed,Upon,Physical Completion,Upon Physical Completion,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,Part of multi-milestone multi-item requirement; final submittal with comments resolved; see 002-208 for draft; includes training materials and recorded video,,In Progress,,,PA,
002-212,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.6.9,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34. Final submittals with WSDOT comments addressed shall be submitted to WSDOT upon Physical Completion of the Project: • Operation and maintenance manuals for all systems installed or modified,Submit O&M manuals for review,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Part of multi-milestone multi-item requirement; draft submittal; see 002-211 for final; covers all systems installed or modified,,Due,KW - No Forms found for 2.33.6.9,,PA,
002-213,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.6.9,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34. Final submittals with WSDOT comments addressed shall be submitted to WSDOT upon Physical Completion of the Project: • Operation and maintenance manuals for all systems installed or modified,Submit final O&M manuals with comments addressed,Upon,Physical Completion,Upon Physical Completion,Operations & Maintenance,Manuals,Design-Builder,Part of multi-milestone multi-item requirement; final submittal with comments resolved; see 002-210 for draft; covers all systems installed or modified,,In Progress,,,PA,
002-214,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.6.9,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34. Final submittals with WSDOT comments addressed shall be submitted to WSDOT upon Physical Completion of the Project: • Operating software (including firmware) and documentation,Submit operating software and documentation for review,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Software/Firmware,Design-Builder,Part of multi-milestone multi-item requirement; draft submittal; see 002-213 for final; includes firmware and documentation,,Due,KW - No Forms found for 2.33.6.9,,PA,
002-215,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.6.9,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34. Final submittals with WSDOT comments addressed shall be submitted to WSDOT upon Physical Completion of the Project: • Operating software (including firmware) and documentation,Submit final operating software and documentation with comments addressed,Upon,Physical Completion,Upon Physical Completion,Operations & Maintenance,Software/Firmware,Design-Builder,Part of multi-milestone multi-item requirement; final submittal with comments resolved; see 002-212 for draft; includes firmware and documentation,,In Progress,,,PA,
002-216,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.5.7,Warranty,The Design-Builder shall provide a three-year warranty on the UPS battery.,Provide three-year warranty on UPS battery,For,Physical Completion,For three-year warranty period,Quality & Compliance,Warranties & Certifications,Design-Builder,Three-year warranty obligation on UPS battery; warranty start date not specified in this section but typically begins at Physical Completion per contract standard; found via handover keyword: warranty,,Not Started,,,PA,
002-217,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.5.6,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit the following to WSDOT and the Local Agencies for Review and Comment: • As-Built Plans for the electrical Work",Submit As-Built Plans for electrical work prior to final electrical inspection,Prior to,Handover,Prior to final electrical inspection,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Part of multi-item list; submittal to WSDOT and Local Agencies; required prior to final electrical inspection which is a closeout activity; found via handover keyword: As-Built Plans,,Not Started,,,PA,
002-218,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.5.6,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit the following to WSDOT and the Local Agencies for Review and Comment: • Documentation including all tests, testing procedures, results and corrections made",Submit testing documentation prior to final electrical inspection,Prior to,Handover,Prior to final electrical inspection,Testing & Commissioning,Project Documentation Package,Design-Builder,Part of multi-item list; includes all tests testing procedures results and corrections; submittal to WSDOT and Local Agencies; required prior to final electrical inspection; found via handover keywords: test documentation,,Not Started,,,PA,
002-219,Technical Requirements (RFP Chapter 2),2.33 Bridge Control System,2.33.5.6,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit the following to WSDOT and the Local Agencies for Review and Comment: • Operation and maintenance manuals for all systems installed",Submit O&M manuals prior to final electrical inspection,Prior to,Handover,Prior to final electrical inspection,Operations & Maintenance,Manuals,Design-Builder,Part of multi-item list; covers all systems installed; submittal to WSDOT and Local Agencies; required prior to final electrical inspection; found via handover keywords: O&M manuals,,Not Started,,,PA,
002-220,Technical Requirements (RFP Chapter 2),2.34 Systems Integration and Commissioning,2.34.6.4,Commissioning Report and Documentation,The Design-Builder shall submit a draft of the Commissioning Report to WSDOT for Review and Comment prior to Substantial Completion and the Final Commissioning Report prior to Physical Completion.,Submit draft Commissioning Report to WSDOT,Prior to,Substantial Completion,Prior to Substantial Completion,Testing & Commissioning,Reports,Design-Builder,"Part of multi-milestone requirement; see also 002-219 for Final Report; must include Acceptance Certificates by System with O&M manuals and Training Manuals, As-Built Plans, Test and Inspection Reports, Systems Integration Reports, Corrective Action Documents, Commissioning Issues Log",,Pending,KW - review document to see actual location and verify if it is final,https://us.teambinder.com/Teambinder5/Integration/tbOpenItem.aspx?Box=100&Key=59405&ProjNo=W17068,PA,
002-221,Technical Requirements (RFP Chapter 2),2.34 Systems Integration and Commissioning,2.34.6.4,Commissioning Report and Documentation,The Design-Builder shall submit a draft of the Commissioning Report to WSDOT for Review and Comment prior to Substantial Completion and the Final Commissioning Report prior to Physical Completion.,Submit Final Commissioning Report to WSDOT,Prior to,Physical Completion,Prior to Physical Completion,Testing & Commissioning,Reports,Design-Builder,"Part of multi-milestone requirement; see also 002-218 for Draft Report; must include Acceptance Certificates by System with O&M manuals and Training Manuals, As-Built Plans, Test and Inspection Reports, Systems Integration Reports, Corrective Action Documents, Commissioning Issues Log",,In Progress,,,PA,
002-222,Technical Requirements (RFP Chapter 2),2.34 Systems Integration and Commissioning,2.34.7,Commissioning - Training,The scheduling and timing of the training shall be planned to respond to operational shift work hours and be completed prior to Substantial Completion.,Complete training on all systems,Prior to,Substantial Completion,Prior to Substantial Completion,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,"Minimum 16 hours per system listed in Section 2.34.5; must be video recorded (tripod-mounted with audio); training video in electronic format; four levels: operators, maintenance, engineering, management; additional hours required per Sections 2.30 and 2.32",,pending,Status - 04 Distribution,"GRA-ORFI-00561
GRA-ORFI-00772",PA,
002-223,Technical Requirements (RFP Chapter 2),2.34 Systems Integration and Commissioning,2.34.7,Commissioning - Training,"The Design-Builder shall submit to WSDOT for Review and Comment 30 Calendar Days prior to any commissioning activities a complete training syllabus outlining topics to be covered, timeframes, training location for said topics and materials to be furnished as part of the training sessions, and necessary instruction sheets.",Submit training syllabus to WSDOT,Prior to,Handover,30 Calendar Days prior to commissioning activities,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,"Must outline topics, timeframes, training location, materials to be furnished, and instruction sheets; training sessions devoted to theory of operation, maintenance, and troubleshooting",,Not Started,,,PA,
002-224,Technical Requirements (RFP Chapter 2),2.34 Systems Integration and Commissioning,2.34.8.3,Operation and Maintenance Manuals,The Design-Builder shall submit all Draft O&M manuals to WSDOT for Review and Comment prior to Substantial Completion.,Submit Draft O&M manuals to WSDOT,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,"Part of multi-milestone requirement; see also 002-223 for Final O&M manuals; each manual coordinated and reviewed by Commissioning Agent; format: 8.5""x11"" three-ring D-ring binders; must include manufacturer info, submittal data, O&M instructions, control drawings, specifications, system descriptions, preventive maintenance instructions, condensed operating instructions, maintenance data sheets",,Due,kw 7/6/23 GCL asks if they can just submit digital copies of the required manuals.  WSDOT replies that they need both digital and printed.,,PA,
002-225,Technical Requirements (RFP Chapter 2),2.34 Systems Integration and Commissioning,2.34.8.3,Operation and Maintenance Manuals,The Final O&M manuals shall be submitted with all comments resolved from the Draft O&M manual submittal to WSDOT prior to Physical Completion.,Submit Final O&M manuals to WSDOT,Prior to,Physical Completion,Prior to Physical Completion,Operations & Maintenance,Manuals,Design-Builder,Part of multi-milestone requirement; see also 002-222 for Draft O&M manuals; all comments from Draft submittal must be resolved,,In Progress,,,PA,
002-226,Technical Requirements (RFP Chapter 2),2.34 Systems Integration and Commissioning,2.34.8.3.1,Guarantees,"The Design-Builder shall furnish to WSDOT any guarantee or warranty furnished as a customary trade practice in connection with the purchase of any equipment, materials, or items incorporated into the Project. Such guarantees and warranties shall be included in the O&M manuals. A separate manual shall be provided including all guarantee and warranty documentation for all equipment, materials, or items for which an O&M manual is not provided.",Provide separate warranty manual for equipment without O&M manuals,Upon,Physical Completion,Upon completion of the Work,Operations & Maintenance,Warranties & Certifications,Design-Builder,For equipment/materials/items for which an O&M manual is not provided; warranties for equipment with O&M manuals are included in those O&M manuals (see 002-222 and 002-223),,Not Started,,,PA,
002-227,Technical Requirements (RFP Chapter 2),2.34 Systems Integration and Commissioning,2.34.8.4,Software and Software Documentation,"Upon completion of System commissioning, the Design-Builder shall furnish to WSDOT, as indicated below, the exclusive right, title, and interest in the System itself, all software, graphical user interfaces, programs, and associated documentation that were developed and/or installed for the Project, including, but not limited to, the Montlake Underlid systems, Montlake Underlid lighting control and SCADA systems, BCS, ITS, and all other systems required by these Technical Requirements.","Furnish software, source codes, and documentation to WSDOT",Upon,Handover,Upon handover,Operations & Maintenance,Software/Firmware,Design-Builder,"For project-specific software: provide annotated electronic/hard copies, program listings, API descriptions, memory addresses, GUI, source codes, assembly instructions, installation procedures, warranties, original software; for commercial off-the-shelf: provide fully paid nonexclusive lifetime license, installation procedures, manuals, upgrade instructions, warranties, original software; WSDOT has exclusive right to use, modify, distribute",,Not Started,,,PA,
002-228,Technical Requirements (RFP Chapter 2),2.36 Marine Transportation,2.36.3.2.1,Marine Transportation Lead,The Marine Transportation Lead shall be available through Physical Completion.,Marine Transportation Lead availability through Physical Completion,Through,Physical Completion,Through Physical Completion,Operations & Maintenance,Service/Maintenance,Design-Builder,Personnel requirement; MLT serves as point of contact for USCG and Army Corps of Engineers,,In Progress,,,RB,
002-229,Technical Requirements (RFP Chapter 2),2.36 Marine Transportation,2.36.6.2,Other Submittals,The Design-Builder shall submit to WSDOT one complete set of the MLT's daily dairies at Physical Completion.,Submit complete set of Marine Transportation Lead daily diaries,At,Physical Completion,At Physical Completion,Physical Work,Records,Design-Builder,MLT = Marine Transportation Lead; weekly copies also required during construction per line 17-18,,In Progress,,,RB,
868-001,CO 169 Multiple Issue Reso No. 5-2024,1-05 Control of Work,1-05.3(5),Fire Flow Vault Platform,"This change order incorporates additional Work to add a safety platform to Vault Structure DR02/260 at the South Treatment Facility. Work shall be in accordance with the scope and stipulations below: a. Design, supply and install the safety platform b. Design shall consider the need for access and clearance to actuators and other equipment that will need to be serviced and/or replaced in the future c. The platform cannot overlap with elements fixed to the vault walls for the sections that can be raised. d. Platform material shall be lightweight and rated to support the anticipated maintenance loading requirements. e. Submittal of Type 2E working drawings for WSDOT approval f. Materials will be approved through the working drawing submittal process g. The RFC plans shall be as-built to reflect the changes per the approved working drawings (FDC or NDC is not required) h. All steel materials must meet 'Buy America' requirements i. The work shall be completed prior to Physical Completion",Complete installation of safety platform in Fire Flow Vault Structure DR02/260 at South Treatment Facility,Prior to,Physical Completion,Prior to Physical Completion,Physical Work,Physical Work Completion,Design-Builder,"Added by CO 169 (Doc 868). Safety platform for Vault Structure DR02/260 at South Treatment Facility. Includes design, supply, and installation. Type 2E working drawings required for WSDOT approval. All steel materials must meet Buy America requirements. RFC plans to be as-built per approved working drawings (FDC/NDC not required). Platform must not overlap with raisable vault wall elements and must support maintenance loading requirements.",,,,,,
